id,retweet_count,user_favourites_count,user_listed_count,user_friends_count,user_statuses_count,favorite_count
2,0,6,49,6741,5332,0
2,0,1943,8,4,9896,0
2,0,0,80,636,8401,0
2,0,626,123,6777,10673,0
2,0,626,123,6777,10673,0
2,0,5997,47,502,5729,3
2,0,5997,47,502,5729,1
2,0,626,123,6777,10673,0
2,0,3112,30,267,4117,3
2,0,159,18,175,7338,1
2,0,429,9,222,3295,0
2,0,581,36,490,1844,0
2,6,548,2,1142,3978,0
2,0,2687,46,99,13013,0
2,0,0,68,40,432410,0
2,0,1003,7,382,2771,2
2,0,4,5,40,11077,0
2,0,0,147,0,760302,0
2,0,15,87,51,62631,0
2,0,7,0,15,23,0
2,0,15,87,51,62631,0
2,0,7,0,15,23,0
2,0,37,18,108,6295,0
2,0,7,0,15,23,0
2,0,1316,1119,307,68465,2
2,0,12430,8,500,19242,0
2,0,3112,30,267,4117,0
2,0,15,87,51,62631,0
2,0,0,39,8,39180,0
2,0,3252,19,1943,2185,0
2,0,14,1,48,807,0
2,0,46,16,2,235,0
2,0,641,55,4237,5315,0
2,0,626,123,6777,10673,0
2,0,4914,218,6764,4123,1
